timestamp,object_x,object_y,contour_area
2026-05-01-17-22-36.053193,566,258,42569.0
2026-05-01-17-22-36.085405,566,257,42613.0
2026-05-01-17-22-36.122915,566,257,42673.0
2026-05-01-17-22-36.154249,566,256,42689.5
2026-05-01-17-22-36.186431,566,256,42712.5
2026-05-01-17-22-36.237841,565,256,42839.0
2026-05-01-17-22-36.255665,565,255,42837.0
2026-05-01-17-22-36.286927,565,255,42938.0
2026-05-01-17-22-36.322601,565,255,42939.5
2026-05-01-17-22-36.355665,565,255,42810.5
2026-05-01-17-22-36.395955,565,255,42845.0
2026-05-01-17-22-36.456044,565,255,42938.0
2026-05-01-17-22-36.489389,565,256,42913.0
2026-05-01-17-22-36.522599,565,256,42898.0
2026-05-01-17-22-36.561385,565,257,42976.0
2026-05-01-17-22-36.623140,567,259,42491.5
2026-05-01-17-22-36.679668,567,260,42251.5
2026-05-01-17-22-36.744133,568,260,41983.5
2026-05-01-17-22-36.804577,568,260,41736.0
2026-05-01-17-22-36.871537,571,261,40065.0
2026-05-01-17-22-36.939003,571,261,39829.5
2026-05-01-17-22-37.004796,571,261,39568.0
2026-05-01-17-22-37.055872,572,260,38571.0
2026-05-01-17-22-37.104628,572,260,38571.0
2026-05-01-17-22-37.155845,572,260,38580.0
2026-05-01-17-22-37.204105,572,260,38646.5
2026-05-01-17-22-37.255073,572,260,38750.0
2026-05-01-17-22-37.305191,572,260,38874.0
2026-05-01-17-22-37.346996,571,260,39161.0
2026-05-01-17-22-37.386516,571,260,39207.5
2026-05-01-17-22-37.424929,572,260,39212.5
2026-05-01-17-22-37.455845,572,260,39178.0
2026-05-01-17-22-37.522616,572,261,39170.5
2026-05-01-17-22-37.571680,572,261,39083.5
2026-05-01-17-22-37.639228,572,261,39048.0
2026-05-01-17-22-37.689702,574,262,38130.5
2026-05-01-17-22-37.739195,574,262,37897.5
2026-05-01-17-22-37.790358,574,262,37669.0
2026-05-01-17-22-37.823720,575,262,37480.0
2026-05-01-17-22-37.855880,575,263,37294.0
2026-05-01-17-22-37.907180,575,262,37202.5
2026-05-01-17-22-37.955899,575,263,37066.5
2026-05-01-17-22-38.005855,576,263,36979.5
2026-05-01-17-22-38.056019,576,263,36839.5
2026-05-01-17-22-38.089661,576,263,36768.0
2026-05-01-17-22-38.136749,576,263,36764.0
2026-05-01-17-22-38.177305,576,263,36722.5
2026-05-01-17-22-38.243372,576,263,36746.5
2026-05-01-17-22-38.289231,576,263,36659.0
2026-05-01-17-22-38.341888,576,263,36646.0
2026-05-01-17-22-38.387840,576,262,36562.5
2026-05-01-17-22-38.421148,576,263,36623.0
2026-05-01-17-22-38.454415,576,263,36575.0
2026-05-01-17-22-38.479029,576,263,36591.0
2026-05-01-17-22-38.539207,576,262,36487.0
2026-05-01-17-22-38.602378,576,262,36527.5
2026-05-01-17-22-38.643003,576,263,36482.0
2026-05-01-17-22-38.689229,576,263,36445.5
2026-05-01-17-22-38.739470,577,263,36013.0
2026-05-01-17-22-38.788701,577,263,35991.0
2026-05-01-17-22-38.839322,577,263,35879.5
2026-05-01-17-22-38.889132,578,263,35802.0
2026-05-01-17-22-38.922833,578,263,35741.5
2026-05-01-17-22-38.971938,578,263,35622.5
2026-05-01-17-22-39.022924,578,263,35519.5
2026-05-01-17-22-39.055870,578,263,35445.5
2026-05-01-17-22-39.089283,578,263,35361.5
2026-05-01-17-22-39.139228,579,264,35265.5
2026-05-01-17-22-39.189150,579,264,35317.0
2026-05-01-17-22-39.239216,579,263,35300.0
2026-05-01-17-22-39.305764,579,264,35354.0
2026-05-01-17-22-39.356627,578,264,35395.0
2026-05-01-17-22-39.389503,578,263,35407.5
2026-05-01-17-22-39.412965,578,263,35460.0
2026-05-01-17-22-39.456822,578,263,35476.0
2026-05-01-17-22-39.522850,578,263,35729.0
2026-05-01-17-22-39.592548,578,263,35805.5
2026-05-01-17-22-39.628376,578,263,35784.5
2026-05-01-17-22-39.664112,578,263,35834.0
2026-05-01-17-22-39.706428,578,263,35848.0
2026-05-01-17-22-39.773148,578,263,35951.5
2026-05-01-17-22-39.827458,577,263,36352.5
2026-05-01-17-22-39.893394,576,262,36586.5
2026-05-01-17-22-39.971521,576,262,36934.0
2026-05-01-17-22-40.039531,577,253,36822.5
2026-05-01-17-22-40.087326,576,250,37047.5
2026-05-01-17-22-40.124379,576,249,36956.0
2026-05-01-17-22-40.171792,575,247,37285.5
2026-05-01-17-22-40.212169,573,245,37686.0
2026-05-01-17-22-40.272203,572,243,38196.5
2026-05-01-17-22-40.325181,569,241,39450.5
2026-05-01-17-22-40.388792,568,241,39757.0
2026-05-01-17-22-40.437980,569,238,40678.5
2026-05-01-17-22-40.488965,568,241,40185.0
2026-05-01-17-22-40.522945,567,241,40530.5
2026-05-01-17-22-40.570835,567,242,40878.5
2026-05-01-17-22-40.621123,566,243,41937.0
2026-05-01-17-22-40.655893,565,243,42233.0
2026-05-01-17-22-40.688252,565,244,42689.0
2026-05-01-17-22-40.755157,564,244,42931.5
2026-05-01-17-22-40.805914,564,244,43098.5
2026-05-01-17-22-40.855928,564,245,43217.5
2026-05-01-17-22-40.888616,564,245,43309.0
2026-05-01-17-22-40.938258,564,245,43438.5
2026-05-01-17-22-40.990113,564,243,44463.0
2026-05-01-17-22-41.038863,565,242,44558.0
2026-05-01-17-22-41.101741,565,243,44377.5
2026-05-01-17-22-41.163707,565,243,44381.5
2026-05-01-17-22-41.225180,565,245,44489.5
2026-05-01-17-22-41.303219,564,248,43919.5
2026-05-01-17-22-41.365081,565,247,45083.0
2026-05-01-17-22-41.410482,565,247,45380.0
2026-05-01-17-22-41.473506,564,258,44022.5
2026-05-01-17-22-41.535268,567,260,42735.0
2026-05-01-17-22-41.598302,570,259,42367.0
2026-05-01-17-22-41.660840,576,262,38962.5
2026-05-01-17-22-41.706425,576,265,37738.5
2026-05-01-17-22-41.768771,576,266,37272.5
2026-05-01-17-22-41.833013,577,266,36887.5
2026-05-01-17-22-41.895335,53,184,35577.0
2026-05-01-17-22-41.958730,53,184,35548.5
2026-05-01-17-22-42.020512,53,184,35591.0
2026-05-01-17-22-42.097519,53,184,35552.0
2026-05-01-17-22-42.144015,53,184,35583.5
2026-05-01-17-22-42.207216,53,184,35583.5
2026-05-01-17-22-42.270017,53,184,35584.5
2026-05-01-17-22-42.332052,53,185,35571.0
2026-05-01-17-22-42.394478,53,184,35580.0
2026-05-01-17-22-42.455683,53,185,35610.5
2026-05-01-17-22-42.533323,53,185,35629.0
2026-05-01-17-22-42.596376,53,185,35688.0
2026-05-01-17-22-42.673409,53,185,35742.0
2026-05-01-17-22-42.735891,53,185,35730.0
2026-05-01-17-22-42.797438,53,185,35764.0
2026-05-01-17-22-42.860977,53,185,35794.5
2026-05-01-17-22-42.922154,53,185,35789.5
2026-05-01-17-22-42.968220,53,185,35792.5
2026-05-01-17-22-43.030568,53,185,35803.5
2026-05-01-17-22-43.104577,53,185,35824.5
2026-05-01-17-22-43.166078,53,185,35872.0
2026-05-01-17-22-43.228903,53,185,35890.5
2026-05-01-17-22-43.291347,53,185,35884.5
2026-05-01-17-22-43.353625,53,185,35925.0
2026-05-01-17-22-43.400334,53,185,35941.5
2026-05-01-17-22-43.463140,53,185,35958.5
2026-05-01-17-22-43.524767,53,185,35961.0
2026-05-01-17-22-43.602099,53,185,35998.0
2026-05-01-17-22-43.664052,53,185,35957.0
2026-05-01-17-22-43.726346,53,185,35979.0
2026-05-01-17-22-43.804426,179,248,36022.5
2026-05-01-17-22-43.866779,179,248,36061.5
2026-05-01-17-22-43.929479,179,248,36104.5
2026-05-01-17-22-43.981330,53,185,36114.0
2026-05-01-17-22-44.022852,53,185,36110.5
2026-05-01-17-22-44.086269,53,185,36153.0
2026-05-01-17-22-44.149152,53,185,36121.5
2026-05-01-17-22-44.227572,53,185,36116.5
2026-05-01-17-22-44.307544,53,185,36070.5
2026-05-01-17-22-44.369823,53,185,36055.5
2026-05-01-17-22-44.420589,53,185,35966.5
2026-05-01-17-22-44.493947,53,185,35968.5
2026-05-01-17-22-44.555419,53,185,35999.5
2026-05-01-17-22-44.618650,53,185,35977.5
